Year,SP500,10_Year_T_Bond,3_Month_T_Bill,SB_Blend,SBC_Blend,Inflation,60/40_Ratio
1928,43.81%,0.84%,3.08%,21.5111,18.2525,-1.16%,26.62%
1929,-8.30%,4.20%,3.16%,-1.8048,-0.9032,0.58%,-3.30%
1930,-25.12%,4.54%,4.55%,-9.6224,-7.3245,-6.40%,-13.26%
1931,-43.84%,-2.56%,2.31%,-21.7632,-18.5840,-9.32%,-27.33%
1932,-8.64%,8.79%,1.07%,0.6058,1.0451,-10.27%,-1.67%
1933,49.98%,1.86%,0.96%,25.0176,21.0189,0.76%,30.73%
1934,-1.19%,7.96%,0.28%,3.4729,3.5366,1.52%,2.47%
1935,46.74%,4.47%,0.17%,24.8192,20.9492,2.99%,29.83%
1936,31.94%,5.02%,0.17%,18.0429,15.3044,1.45%,21.17%
1937,-35.34%,1.38%,0.28%,-15.9557,-13.4147,2.86%,-20.65%
1938,29.28%,4.21%,0.07%,16.2799,13.8261,-2.78%,19.25%
1939,-1.10%,4.41%,0.05%,1.7675,1.7700,0.00%,1.11%
1940,-10.67%,5.40%,0.04%,-2.2441,-1.5661,0.71%,-4.24%
1941,-12.77%,-2.02%,0.13%,-6.8419,-6.1106,9.93%,-8.47%
1942,19.17%,2.29%,0.34%,10.3590,8.8485,9.03%,12.42%
1943,25.06%,2.49%,0.38%,13.3186,11.3075,2.96%,16.03%
1944,19.03%,2.58%,0.38%,10.4880,8.9403,2.30%,12.45%
1945,35.82%,3.80%,0.38%,19.2114,16.2664,2.25%,23.01%
1946,-8.43%,3.13%,0.38%,-2.4182,-1.7687,18.13%,-3.81%
1947,5.20%,0.92%,0.60%,3.0600,2.5970,8.84%,3.49%
1948,5.70%,1.95%,1.05%,3.8482,3.3588,2.99%,4.20%
1949,18.30%,4.66%,1.12%,11.1103,9.7613,-2.07%,12.85%
1950,30.81%,0.43%,1.20%,14.8048,12.6542,5.93%,18.66%
1951,23.68%,-0.30%,1.52%,11.1743,9.4694,6.00%,14.09%
1952,18.15%,2.27%,1.72%,9.8748,8.5624,0.75%,11.80%
1953,-1.21%,4.14%,1.89%,1.6580,1.7757,0.75%,0.93%
1954,52.56%,3.29%,0.94%,26.7561,22.7663,-0.74%,32.85%
1955,32.60%,-1.34%,1.73%,14.9818,12.5349,0.37%,19.02%
1956,7.44%,-2.26%,2.63%,2.5283,2.1018,2.99%,3.56%
1957,-10.46%,6.80%,3.23%,-1.5066,-0.4599,2.90%,-3.56%
1958,43.72%,-2.10%,1.77%,20.0298,16.6160,1.76%,25.39%
1959,12.06%,-2.65%,3.39%,4.5634,3.8236,1.73%,6.18%
1960,0.34%,11.64%,2.88%,6.0389,6.2596,1.36%,4.86%
1961,26.64%,2.06%,2.35%,14.0193,11.9121,0.67%,16.81%
1962,-8.81%,5.69%,2.77%,-1.3600,-0.4016,1.33%,-3.01%
1963,22.61%,1.68%,3.16%,11.8503,10.1958,1.64%,14.24%
1964,16.42%,3.73%,3.55%,9.8749,8.7822,0.97%,11.34%
